train_accuracy_step,train_f1score_step,train_labelsmoothingcrossentropy_step,epoch,step,val_accuracy,val_f1score,val_labelsmoothingcrossentropy,train_accuracy_epoch,train_f1score_epoch,train_labelsmoothingcrossentropy_epoch
0.15625,0.06508032977581024,3.9688239097595215,0,49,,,,,,
0.234375,0.13423490524291992,3.598536968231201,0,99,,,,,,
0.328125,0.1497899293899536,3.154569625854492,0,149,,,,,,
0.234375,0.11188837140798569,2.9956541061401367,0,199,,,,,,
0.328125,0.19162777066230774,3.0364022254943848,0,249,,,,,,
0.4375,0.23036549985408783,2.570466995239258,0,299,,,,,,
0.40625,0.26344698667526245,2.827812433242798,0,349,,,,,,
0.421875,0.3344300389289856,2.581066131591797,0,399,,,,,,
0.53125,0.33415210247039795,2.232337713241577,0,449,,,,,,
0.390625,0.21322551369667053,2.7139341831207275,0,499,,,,,,
0.390625,0.20762237906455994,2.576934814453125,0,549,,,,,,
0.34375,0.2289115935564041,2.4973316192626953,0,599,,,,,,
0.53125,0.33250516653060913,2.025771141052246,0,649,,,,,,
0.5625,0.43319517374038696,1.9500612020492554,0,699,,,,,,
0.5,0.32808858156204224,2.3722941875457764,0,749,,,,,,
0.546875,0.37865498661994934,1.8601245880126953,0,799,,,,,,
0.546875,0.3451436161994934,1.975037932395935,0,849,,,,,,
0.5,0.2619088292121887,1.9468858242034912,0,899,,,,,,
0.53125,0.30972224473953247,2.268949031829834,0,949,,,,,,
0.515625,0.3426704406738281,2.4063777923583984,0,999,,,,,,
0.5625,0.4949495196342468,1.971475601196289,0,1049,,,,,,
0.546875,0.3980638384819031,1.923971176147461,0,1099,,,,,,
0.59375,0.31836220622062683,2.000420570373535,0,1149,,,,,,
0.546875,0.42549988627433777,2.269376516342163,0,1199,,,,,,
0.53125,0.39989417791366577,1.9726706743240356,0,1249,,,,,,
0.53125,0.41820332407951355,2.339317798614502,0,1299,,,,,,
0.625,0.5668831467628479,1.593685507774353,0,1349,,,,,,
0.625,0.47213777899742126,1.9278889894485474,0,1399,,,,,,
0.65625,0.5388889312744141,1.5106563568115234,0,1449,,,,,,
0.5,0.35464853048324585,2.0172178745269775,0,1499,,,,,,
0.515625,0.4134199023246765,2.078928232192993,0,1549,,,,,,
0.625,0.42958155274391174,1.814650297164917,0,1599,,,,,,
0.578125,0.3763332962989807,1.7640914916992188,0,1649,,,,,,
,,,0,1694,0.6244436502456665,0.5034773349761963,1.7116986513137817,,,
,,,0,1694,,,,0.47926807403564453,0.3276580274105072,2.3441834449768066
0.609375,0.44844961166381836,1.6774559020996094,1,1699,,,,,,
0.671875,0.4579840302467346,1.5653642416000366,1,1749,,,,,,
0.625,0.4617965519428253,1.6059105396270752,1,1799,,,,,,
0.640625,0.48678573966026306,1.4565880298614502,1,1849,,,,,,
0.765625,0.6771005392074585,1.3058984279632568,1,1899,,,,,,
0.640625,0.5090172290802002,1.4275414943695068,1,1949,,,,,,
0.671875,0.5079241991043091,1.5401084423065186,1,1999,,,,,,
0.484375,0.31804102659225464,2.1043128967285156,1,2049,,,,,,
0.578125,0.45395299792289734,1.8043427467346191,1,2099,,,,,,
0.640625,0.4577174782752991,1.657092571258545,1,2149,,,,,,
0.640625,0.48745790123939514,1.4685428142547607,1,2199,,,,,,
0.609375,0.415828138589859,1.6730396747589111,1,2249,,,,,,
0.640625,0.5026947259902954,1.6176857948303223,1,2299,,,,,,
0.640625,0.45389461517333984,1.4537639617919922,1,2349,,,,,,
0.671875,0.5227484703063965,1.5242297649383545,1,2399,,,,,,
0.71875,0.5892245769500732,1.302072286605835,1,2449,,,,,,
0.609375,0.4600198566913605,1.550891637802124,1,2499,,,,,,
0.625,0.4602484703063965,1.4548094272613525,1,2549,,,,,,
0.6875,0.5565608739852905,1.3892323970794678,1,2599,,,,,,
0.671875,0.530569851398468,1.5443885326385498,1,2649,,,,,,
0.59375,0.4760351777076721,1.6934778690338135,1,2699,,,,,,
0.71875,0.545208215713501,1.1103655099868774,1,2749,,,,,,
0.75,0.6222019195556641,1.1842979192733765,1,2799,,,,,,
0.65625,0.5154041051864624,1.4089629650115967,1,2849,,,,,,
0.65625,0.48712122440338135,1.4398037195205688,1,2899,,,,,,
0.671875,0.5507317781448364,1.4162416458129883,1,2949,,,,,,
0.6875,0.4996071457862854,1.3461110591888428,1,2999,,,,,,
0.609375,0.4758598208427429,1.4754884243011475,1,3049,,,,,,
0.6875,0.5459979772567749,1.4146968126296997,1,3099,,,,,,
0.703125,0.563745379447937,1.2799603939056396,1,3149,,,,,,
0.65625,0.4985201954841614,1.4559056758880615,1,3199,,,,,,
0.625,0.48757171630859375,1.4181976318359375,1,3249,,,,,,
0.734375,0.628251314163208,1.2709026336669922,1,3299,,,,,,
0.75,0.6308183670043945,1.1161607503890991,1,3349,,,,,,
,,,1,3389,0.7002736926078796,0.6251285076141357,1.4045566320419312,,,
,,,1,3389,,,,0.6662794947624207,0.6065974235534668,1.5234230756759644
0.734375,0.6215245723724365,1.334737777709961,2,3399,,,,,,
0.734375,0.5874344110488892,1.3046345710754395,2,3449,,,,,,
0.875,0.8558334112167358,0.9089128971099854,2,3499,,,,,,
0.6875,0.6013670563697815,1.5789649486541748,2,3549,,,,,,
0.703125,0.579365074634552,1.4175784587860107,2,3599,,,,,,
0.8125,0.7072927355766296,1.0762147903442383,2,3649,,,,,,
0.703125,0.552331805229187,1.3937013149261475,2,3699,,,,,,
0.734375,0.6234380006790161,1.4445987939834595,2,3749,,,,,,
0.71875,0.6167292594909668,1.172753930091858,2,3799,,,,,,
0.828125,0.7653235793113708,1.011699914932251,2,3849,,,,,,
0.765625,0.6630008220672607,1.1700286865234375,2,3899,,,,,,
0.671875,0.5727225542068481,1.6403741836547852,2,3949,,,,,,
0.765625,0.6322215795516968,1.1027370691299438,2,3999,,,,,,
0.765625,0.6492063999176025,1.0995341539382935,2,4049,,,,,,
0.75,0.5783715844154358,1.2100015878677368,2,4099,,,,,,
0.734375,0.5854827165603638,1.203749418258667,2,4149,,,,,,
0.671875,0.5870418548583984,1.4395567178726196,2,4199,,,,,,
0.734375,0.5766712427139282,1.0952399969100952,2,4249,,,,,,
0.71875,0.5552083253860474,1.2851605415344238,2,4299,,,,,,
0.765625,0.6136301159858704,1.0873816013336182,2,4349,,,,,,
0.65625,0.46400532126426697,1.3933875560760498,2,4399,,,,,,
0.765625,0.6702570915222168,1.2503665685653687,2,4449,,,,,,
0.71875,0.5951606631278992,1.4487507343292236,2,4499,,,,,,
0.765625,0.6676079630851746,1.1548254489898682,2,4549,,,,,,
0.8125,0.7010912895202637,1.057928204536438,2,4599,,,,,,
